Name,i,x0_ 1,x0_ 2,x0_ 3,x0_ 4,x0_ 5,x0_ 6,x0_ 7,x0_ 8,x0_ 9,x0_10,x0_11,x0_12,x0_13,BW,EGPb,Gb,Ib,kabs,kmax,kmin,b,d,Vg,Vi,Ipb,Vmx,Km0,k2,k1,p2u,m1,m5,CL,HEb,m2,m4,m30,Ilb,ki,kp2,kp3,f,Gpb,ke1,ke2,Fsnc,Gtb,Vm0,Rdb,PCRb,kd,ksc,ka1,ka2,dosekempt,u2ss,isc1ss,isc2ss,kp1,patient_history
adolescent#001,1,0,0,0,250.621836,176.506559902,4.697517762,0,97.554,97.554,3.19814917262,57.951224472,93.2258828462,250.621836,68.706,3.3924,149.02,97.554,0.091043,0.015865,0.0083338,0.83072,0.32294,1.6818,0.048153,4.697517762,0.074667,260.89,0.067738,0.057252,0.021344,0.15221,0.029902,0.8571,0.6,0.259067825939,0.103627130376,0.228315,3.19814917262,0.0088838,0.023318,0.023253,0.9,250.621836,0.0005,339,1,176.506559902,5.92854753098,3.3924,0.0227647295665,0.0185,0.056,0.0025,0.0115,90000,1.21697571391,57.951224472,93.2258828462,11.5048231338,0
adolescent#002,2,0,0,0,280.236267,30.9541309204,6.01930508,0,119.18,119.18,4.96870842374,77.8484760287,47.1721248798,280.236267,51.046,2.4905,152.41,119.18,0.12473,0.034573,0.006983,0.76876,0.18887,1.8387,0.050506,6.01930508,0.038897,223.01,0.28643,0.036957,0.017681,0.14477,0.036533,0.77023,0.6,0.298755383281,0.119502153313,0.217155,4.96870842374,0.0084603,0.0026879,0.0079949,0.9,280.236267,0.0005,339,1,30.9541309204,12.228853658,2.4905,0.0163407912867,0.0163,0.1314,0.0068,0.0269,90000,1.79829979626,77.8484760287,47.1721248798,4.19657924407,0
adolescent#003,3,0,0,0,326.55338,383.368339011,3.48788064,0,101.28,101.28,5.27738007224,80.7969837316,81.3429092974,326.55338,44.791,2.8199,145.9,101.28,0.046752,0.046773,0.0066262,0.56424,0.14423,2.2382,0.034438,3.48788064,0.060762,216.57,0.080467,0.10004,0.065784,0.10962,0.016546,0.63961,0.6,0.414654673732,0.165861869493,0.16443,5.27738007224,0.0094229,0.0060918,0.017571,0.9,326.55338,0.0005,339,1,383.368339011,2.84798631515,2.8199,0.0193276216587,0.0149,0.1059,0.003,0.0148,90000,1.4462660088,80.7969837316,81.3429092974,6.58878876028,0
adolescent#004,4,0,0,0,248.11709,214.758607646,4.31676536,0,108.88,108.88,3.95608314762,97.383030189,124.746856854,248.11709,49.564,3.2437,144.7,108.88,0.14452,0.030833,0.0096077,0.77607,0.14467,1.7147,0.039647,4.31676536,0.056525,248.78,0.07298,0.072211,0.037027,0.17822,0.02182,0.80238,0.6,0.408322597923,0.163329039169,0.26733,3.95608314762,0.0058346,0.0046256,0.015157,0.9,248.11709,0.0005,339,1,214.758607646,4.84283999312,3.2437,0.0224167242571,0.0155,0.0751,0.0026,0.0121,90000,1.76263284642,97.383030189,124.746856854,6.0416845715,0
adolescent#005,5,0,0,0,279.047113,144.715758769,5.16289777,0,113.09,113.09,4.63464033793,83.8603979178,71.5419213875,279.047113,47.074,2.8283,139.03,113.09,1.2323,0.025659,0.025281,0.98829,0.13898,2.0071,0.045653,5.16289777,0.050384,278.74,0.14022,0.079271,0.032703,0.13245,0.014914,0.6388,0.6,0.297244948528,0.118897979411,0.198675,4.63464033793,0.010166,0.0039814,0.0062157,0.9,279.047113,0.0005,339,1,144.715758769,5.34982624105,2.8283,0.0203430914191,0.0151,0.0866,0.0032,0.0177,90000,1.5346452819,83.8603979178,71.5419213875,4.6422316887,0
adolescent#006,6,0,0,0,257.421705,162.558570565,8.154419,0,113.0,113.0,1.7150416755,79.9949521754,52.7439245113,257.421705,45.408,3.792,134.67,113.0,0.044109,0.058757,0.0075623,0.62856,0.17249,1.9115,0.072163,8.154419,0.043789,205.67,0.084141,0.06398,0.046778,0.44964,0.021571,0.7747,0.6,0.236421300822,0.0945685203288,0.67446,1.7150416755,0.044238,0.012289,0.0062812,0.9,257.421705,0.0005,339,1,162.558570565,6.32445379807,3.792,0.0281577188683,0.018,0.0737,0.0061,0.0273,90000,1.92787834743,79.9949521754,52.7439245113,7.66523093275,0
adolescent#007,7,0,0,0,238.918844,87.9615903151,5.2342344,0,111.9,111.9,4.7237153349,94.4307701512,88.4032741841,238.918844,37.898,3.0324,145.16,111.9,0.053959,0.046226,0.0083388,0.63139,0.17323,1.6459,0.046776,5.2342344,0.03753,213.24,0.15372,0.065101,0.028587,0.17352,0.017336,0.694,0.6,0.391489481686,0.156595792674,0.26028,4.7237153349,0.0058301,0.0096939,0.0095992,0.9,238.918844,0.0005,339,1,87.9615903151,6.95942524417,3.0324,0.020890052356,0.0176,0.0503,0.0041,0.0188,90000,2.04914771228,94.4307701512,88.4032741841,6.42260586185,0
adolescent#008,8,0,0,0,263.83812,33.9274151265,4.730160786,0,82.914,82.914,2.58030593927,64.7483947298,75.6122193488,263.83812,41.218,2.921,144.3,82.914,0.031127,0.051587,0.0085102,0.68583,0.13088,1.8284,0.057049,4.730160786,0.050245,216.9,0.2045,0.033578,0.024807,0.20978,0.0078171,0.67272,0.6,0.286087833178,0.114435133271,0.31467,2.58030593927,0.015816,0.0038941,0.0045499,0.9,263.83812,0.0005,339,1,33.9274151265,14.202068229,2.921,0.0202425502426,0.0174,0.0804,0.0035,0.0149,90000,1.35324144985,64.7483947298,75.6122193488,4.32566243169,0
adolescent#009,9,0,0,0,241.4475,184.846172962,4.707832836,0,84.982,84.982,4.62123641991,71.2301660032,105.269360376,241.4475,43.885,4.2126,137.97,84.982,0.20973,0.027936,0.012496,0.87667,0.1589,1.75,0.055398,4.707832836,0.076427,223.83,0.080139,0.074658,0.035186,0.11961,0.028412,0.7136,0.6,0.29352469992,0.117409879968,0.179415,4.62123641991,0.0078732,0.014674,0.026073,0.9,241.4475,0.0005,339,1,184.846172962,7.10273332804,4.2126,0.0305327245053,0.0167,0.0912,0.0027,0.0113,90000,1.38186522046,71.2301660032,105.269360376,9.971336301,0
adolescent#010,10,0,0,0,267.183741,169.7110728,6.32186544,0,108.24,108.24,3.58883085798,93.319683293,77.6764993884,267.183741,47.378,2.8311,144.87,108.24,0.80212,0.017759,0.010463,0.90795,0.26552,1.8443,0.058406,6.32186544,0.065509,231.53,0.13124,0.090215,0.038376,0.18514,0.024317,0.72708,0.6,0.262753198147,0.105101279259,0.27771,3.58883085798,0.010331,0.0028192,0.01386,0.9,267.183741,0.0005,339,1,169.7110728,4.32919618197,2.8311,0.0195423483123,0.0144,0.1045,0.0034,0.0173,90000,1.66109036262,93.319683293,77.6764993884,5.08455080263,0
